Deutsch,English
ginge ,would be
reingehen ,go in
durfte ,could
korrektur ,correction
wirft ,throws
titten ,tits
betreten ,enter
todes ,death
one ,one
doctor ,Doctor
blöden ,stupid
miles ,miles
rausholen ,get out
hohe ,height
aufnahme ,recording
by ,by
holmes ,holmes
hübscher ,prettier
vegas ,Vegas
manager ,Manager
stellung ,position
höhle ,cave
schokolade ,chocolate
angeboten ,offered
befreundet ,friends
weib ,woman
ausgerechnet ,of all things
walker ,walker
beibringen ,teach
nelson ,Nelson
ex ,ex
belohnung ,reward
seelen ,soul
steine ,stones
garage ,garage
scheißkerl ,shit
gestört ,disturbed
cooper ,cooper
ruhen ,rest
pillen ,pills
gepäck ,baggage
carol ,carol
norman ,Norman
zoe ,zoe
amerikanischen ,American
telefonieren ,make a phone call
heirate ,marriage
erkenne ,recognize
funk ,Wireless
grüß ,greetings
hurensohn ,son of a bitch
mögliche ,possible
spring ,jump
uni ,University
scheinbar ,seemingly
fakten ,facts
informieren ,inform
jugend ,youth
feier ,celebration
wenigen ,few
söhne ,sons
benzin ,petrol
nix ,nothing
vampire ,vampires
erkennt ,recognizes
sicherer ,safer
zigaretten ,cigarettes
dummes ,stupid
mauer ,wall
erneut ,anew
flügel ,wing
schluck ,sip
hierbleiben ,stay here
abschluss ,diploma
christus ,Christ
bezahle ,pay
böses ,evil
dummkopf ,fool
gerüchte ,rumors
eingestellt ,set
m. ,m.
weitergehen ,go on
technik ,technology
ali ,ali
bezweifle ,doubt
piper ,piper
over ,over
gekostet ,tasted
anzeige ,advertisement
wohnst ,living
hans ,Hans
ergebnis ,result
bedingungen ,conditions
brad ,brad
aufzuhalten ,stop
versprich ,promise
verdiene ,deserve
geschnappt ,snapped
francis ,francis
eile ,Hurry
innen ,Inside
italien ,Italy
einig ,Some
verhandeln ,negotiate
weswegen ,which is why
nützlich ,useful
inneren ,inside
gentleman ,gentleman
felix ,Felix
vergesse ,forget
dunkle ,dark
warnung ,warning
gemeinde ,community
diamanten ,diamond
wächst ,grows
gewöhnlich ,usually
seil ,rope
bär ,bear
euro ,Euro
großartige ,great
beth ,beth
ware ,goods
traurige ,sad
persönliche ,personal
figur ,figure
time ,time
roboter ,robot
anschauen ,look at
kürzlich ,recently
material ,material
paula ,Paula
käme ,would come
stellst ,place
bereitet ,prepared
einfallen ,come up
käfig ,Cage
fantasie ,fantasy
brach ,broke
satz ,sentence
kommissar ,commissioner
exzellenz ,excellence
schuldest ,owe
nass ,wet
rächen ,revenge
womöglich ,possibly
begrüßen ,greet
lou ,lou
davis ,Davis
überraschen ,to surprise
menschlichen ,human
repariert ,repaired
führung ,guide
gestanden ,stuck
jacob ,jacob
schütze ,protect
störe ,sturgeon
nina ,Nina
filmen ,film
jobs ,jobs
maschinen ,machinery
unterlagen ,documents
palast ,palace
graben ,dig
kette ,chain
auftauchen ,turn up
interessante ,interesting
wovor ,which
springt ,jump
terroristen ,terrorist
stan ,Stan
bekämpfen ,fight
lärm ,noise
flehe ,pleading
aufgewachsen ,grew up
arbeiter ,worker
größere ,greater
humor ,humor
betrachten ,regard
be ,be
organisation ,organization
widerstand ,resistance
bergen ,mount
studio ,Studio
hausaufgaben ,homework
vögeln ,fuck
bescheuert ,stupid
weggehen ,go away
teller ,Plate
original ,original
revolution ,revolution
hitler ,Hitler
mädel ,girl
verbinden ,connect
nathan ,Nathan
ermittlungen ,investigation
steck ,plug
wäsche ,Laundry
rätsel ,puzzle
besonderen ,special
hunderte ,hundreds
versetzt ,staggered
bibel ,Bible
heiliger ,sacred
reiß ,tear
kopie ,Copy
besitzen ,own
zeitungen ,newspapers
zurückgekommen ,come back
süßes ,sweet
barbara ,Barbara
ungewöhnlich ,unusual
höhe ,height
geschaffen ,created
beschreiben ,describe
ausgesucht ,select
notwendig ,necessary
dunklen ,dark
ignorieren ,to ignore
toter ,Dead
deck ,deck
narr ,fool
scheißegal ,don't give a fuck
höchstens ,at most
übersehen ,overlook
geirrt ,wicked
darunter ,underneath
außen ,Outside
einzig ,only
stirbst ,die
lhren ,lc
spielchen ,game
girl ,girl
fahrrad ,bicycle
nutte ,hooker
wilde ,wild
jordan ,Jordan
bequem ,comfortable
rauch ,smoke
verschiedenen ,different
kamst ,Kamst
l ,L
betty ,Betty
pool ,pool
hubschrauber ,helicopter
wüssten ,know
erstmal ,for now
kollege ,colleague
vernichtet ,destroyed
gesichter ,faces
derselbe ,the same
hattet ,had
konto ,account
freie ,free
casey ,Casey
haken ,hook
munition ,ammunition
sünde ,sin
militär ,military
gefasst ,caught
anzeichen ,signs
geklappt ,succeeded
hintergrund ,background
erwähnen ,mention
tipp ,tip
reißen ,tear
keins ,no
genial ,brilliant
berichte ,report
kram ,junk
schnapp ,snap
solle ,should
randy ,randy
umziehen ,move
zunächst ,first
keinerlei ,none
typisch ,typical
bietet ,offers
leb ,life
technologie ,technology
john-boy ,John-Boy
ruinieren ,ruin
jünger ,younger
poirot ,poirot
umso ,The samey
starben ,die
rette ,saving
triffst ,meet
unhöflich ,impolite
safe ,safe
anzurufen ,call
universität ,university
#VALUE!,#VALUE!
heben ,lift
koch ,cook
derselben ,the same
katastrophe ,catastrophe
male ,times
olivia ,Olivia
prüfung ,test
brown ,brown
gesetze ,laws
meeting ,meeting
versicherung ,insurance
getragen ,carried
ehefrau ,wife
mitmachen ,participate
tauschen ,to exchange
ergebnisse ,results
boston ,Boston
reg ,reg
einstellen ,set
reagieren ,react
gefehlt ,lacking
verwandeln ,transform
gedauert ,taken
senden ,send
blair ,blair
reporter ,reporter
abgeben ,hand over
mm ,mm
parker ,parker
anhören ,listen to
bibliothek ,library
japan ,Japan
hinsetzen ,sit down
hannah ,Hannah
serena ,Serena
motiv ,motive
paige ,Paige
schalten ,switch
derek ,derek
gewöhnen ,get used to
lernte ,learned
vereinigten ,united
gewicht ,weight
zweiter ,second
badezimmer ,bathroom
schieben ,push
dreimal ,3 times
weich ,soft
echtes ,real
zweitens ,Secondly
drachen ,kite
bahnhof ,railroad station
erschöpft ,exhausted
genauer ,more accurate
verlange ,concern
spanisch ,Spanish
verrat ,Treason
hexen ,witch
live ,live
legende ,legend
taub ,deaf
freu ,happy
konzert ,concert
hopp ,hopping
wiederzusehen ,look back
doppelt ,double
last ,load
vergleich ,comparison
böser ,evil
herzlich ,heartfelt
monica ,monica
taschen ,pockets
genügt ,enough
besucher ,visitor
spanien ,Spain
großzügig ,generous
teddy ,teddy
hauses ,house
leihen ,lend
scheiden ,divide
einstellung ,attitude
köstlich ,delicious
watson ,Watson
einheiten ,units
wichtigen ,important
go ,go
warne ,warning
russland ,Russia
angeschossen ,shot
sammy ,Sammy
pierre ,pierre
sklaven ,slaves
laune ,mood
gesamten ,whole
stille ,silence
asche ,ash
geflogen ,flown
spion ,spy
what ,what
aaron ,Aaron
weihnachtsmann ,Santa Claus
hervorragend ,terrific
can ,can
verärgert ,annoyed
puppe ,doll
überfall ,raid
unwichtig ,unimportant
santa ,Santa
linke ,left
übung ,exercise
buffy ,buffy
franzosen ,French people
wehgetan ,hurt
schwäche ,weakness
couch ,couch
cousine ,cousin
grant ,grant
atme ,breath
irgendeinem ,any
unterstützt ,supports
oscar ,Oscar
ausdruck ,expression
pleite ,broke
beleidigt ,insulted
knopf ,button
stop ,Stop
schlimme ,badness
beweist ,proven
katie ,Katie
dramatische ,dramatic
heutigen ,today
leere ,empty
island ,Iceland
shane ,Shane
daisy ,daisy
trinkst ,drink
heimlich ,secretly
eingehen ,enter into
rad ,wheel
greift ,grabs
mächtig ,powerful
williams ,Williams
sinnlos ,senseless
versaut ,dirty
netz ,network
atem ,breath
anstellen ,hire
milliarden ,billions
flotte ,fleet
umgebung ,vicinity
mitbringen ,bring along
beteiligt ,involved
dunkeln ,dark
entwickeln ,develop
schämen ,be ashamed
erwachsene ,adult
zack ,jack
durchsuchen ,search
hollywood ,Hollywood
rollen ,roll
vergesst ,forgetful
tricks ,tricks
plätze ,places
gefangene ,prisoner
sünden ,sins
sender ,Channel
verlass ,leave
räumen ,clear
lerne ,learn
rettet ,saved
hinweise ,hints
ausreden ,excuses
alexander ,Alexander
mommy ,mommy
diejenige ,the one
nächte ,nights
herrscht ,prevails
bud ,bud
jahres ,year
dna ,DNA
romantisch ,romantic
flüstert ,whispered
drück ,pushing
jeremy ,Jeremy
bedanken ,thank
verabredet ,have an appointment
pilot ,pilot
colt ,colt
nigger ,nigger
reizend ,lovely
grade ,just
stanley ,Stanley
leib ,body
stecke ,stitch
scheisse ,Fuck
ärztin ,doctor
vergewaltigt ,raped
mußt ,must
lieferung ,delivery
botschafter ,ambassador
studieren ,study
köpfe ,heads
duschen ,have a shower
kopfschmerzen ,headache
öl ,oil
knarre ,creak
sekretärin ,secretary
phase ,phase
handschellen ,handcuffs
lewis ,Lewis
versehen ,Mistake
bande ,band
treu ,faithful
positiv ,positive
meiste ,most
museum ,museum
albtraum ,nightmare
margaret ,margaret
verlobt ,engaged
besiegt ,defeated
existieren ,exist
könne ,can
proben ,rehearse
beschissen ,shitty
gewinne ,profit
personal ,staff
christian ,Christian
bewaffnet ,armed
fällen ,fell
wecken ,wake up
wirkung ,effect
kurt ,Kurt
connor ,conno
rebecca ,Rebecca
therapie ,therapy
travis ,travis
amüsieren ,amuse
ordentlich ,orderly
weglaufen ,run away
aufgewacht ,woke up
nähern ,approach
decken ,cover
sinne ,senses
leutnant ,lieutenant
zauberer ,wizard
hogan ,Hogan
bittet ,asks
ankunft ,arrival
klopft ,taps
abstand ,distance
bewusstsein ,consciousness
nation ,nation
kontrolliert ,controlled
treffer ,hit
abnehmen ,lose weight
ratten ,rat
anwälte ,lawyers
tempel ,temple
vergiftet ,poisoned
kunde ,customer
#VALUE!,#VALUE!
wunden ,wound
unangenehm ,unpleasant
ausrüstung ,equipment
segen ,blessing
präsentiert ,presents
schließ ,locking
kehle ,throat
krone ,Crown
garantiert ,guaranteed
durchsucht ,searched
president ,president
tracy ,tracy
verfluchte ,cursed
bestimmten ,certain
clay ,clay
ladies ,ladies
b. ,b.
ladung ,charge
beinen ,legs
hell ,bright
kent ,kent
kapitel ,chapter
chase ,chase
benutze ,use
alibi ,alibi
ziele ,goals
bestie ,beast
gus ,cast
nirgends ,nowhere
wohnzimmer ,living room
beute ,prey
bau ,building
brennen ,burn
lex ,lex
durst ,thirst
logan ,Logan
schwarzer ,black
schmutzig ,dirty
liebhaber ,Lover
ersetzen ,substitute
#VALUE!,#VALUE!
verfahren ,procedure
kirk ,Kirk
stiefel ,boots
inspector ,inspector
allzu ,too
camp ,camp
dürft ,may
orten ,place
hitze ,heat
spielzeug ,toy
tv ,TV
gloria ,gloria
wolle ,wool
knurrt ,crumpled
meldet ,reports
rita ,Rita
zone ,Zone
trocken ,dry
lincoln ,Lincoln
schreibst ,write
audrey ,Audrey
quinn ,quinn
probier ,try
le ,le
kids ,kids
unterschrieben ,signed
do ,do
heulen ,howl
entschlossen ,determined
paket ,package
gefiel ,liked
bekamen ,get
netten ,nice
geheime ,secret
jennifer ,Jennifer
aktiviert ,activated
ausweg ,way out
hinweg ,gone
schmuck ,jewelry
ausgang ,exit
wunderschöne ,beautiful
zurückkommt ,returns
ann ,ann
illegal ,illegal
ferien ,holidays
persönlichen ,personal
geiseln ,hostage
segne ,bless
normaler ,normal
steuer ,tax
aufgepasst ,careful
murphy ,Murphy
raumschiff ,spaceship
dummen ,stupid
weißer ,whiter
ausbildung ,education
klavier ,piano
hauptsache ,main thing
admiral ,admiral
entgegen ,in contrast to
fasse ,grip
strecke ,route
julian ,Julian
version ,version
hilfreich ,helpful
schweren ,severe
h ,H
jahrelang ,for years
leeren ,to empty
küste ,coast
baron ,baron
behörden ,authorities
grüße ,greetings
geklärt ,clear
bruders ,brother
kaufte ,bought
stone ,stone
puls ,Pulse
blue ,blue
flur ,corridor
denselben ,the same
rettung ,rescue
widerlich ,disgusting
parkplatz ,parking spot
katzen ,cats
laster ,vice
sozusagen ,so to speak
mittwoch ,Wednesday
unschuldige ,innocent
abwarten ,wait
grandma ,grandma
florida ,Florida
re ,re
grünen ,Greens
könntet ,Could
aufnahmen ,Recordings
vision ,vision
schauspielerin ,actress
passe ,fits
sing ,singing
glückliche ,lucky
highschool ,high school
friedhof ,cemetery
irrtum ,mistake
klienten ,client
nervt ,annoying
leidet ,suffers
reverend ,reverting
trainieren ,train
gegenwart ,present
zurückbringen ,return
herman ,Herman
protokoll ,protocol
studenten ,students
durchaus ,quite
grausam ,awful
höchste ,highest
verwickelt ,involved
schmecken ,taste good
klappen ,succeed
apropos ,speaking
liz ,liz
alfred ,Alfred
ansonsten ,otherwise
wade ,calf
missverständnis ,misunderstanding
mitglieder ,members
motorrad ,motorcycle
mickey ,Mickey
blicken ,look
glücklicher ,happier
hübschen ,pretty
dicke ,thickness
gewünscht ,desired
gejagt ,hunted
diejenigen ,those
diskutieren ,discuss
pinkeln ,to pee
huhn ,chicken
erheben ,raise
paradies ,paradise
tagebuch ,diary
möglichen ,possible
jenseits ,beyond
arschlöcher ,asshole
apartment ,apartment
mason ,mason
pfeift ,whistle
dieselben ,the same
wilden ,wild
vergaß ,forgotten
enttäuschen ,disappoint
greg ,Greg
konsequenzen ,consequences
fleck ,spot
macgyver ,macgyver
führerschein ,driver's license
online ,on-line
bete ,prayer
verdächtige ,suspect
enkel ,grandson
normalen ,normal
stift ,pen
interview ,interview
süßen ,sweeten
riesige ,huge
aussicht ,outlook
ned ,ned
wiederkommen ,come back
werbung ,advertising
warf ,threw
telefoniert ,telephone
anblick ,sight
einzelnen ,individual
teppich ,carpet
hielten ,kept
handel ,trade
gekannt ,known
getrieben ,driven
trainer ,Trainer
scully ,scully
schuh ,shoe
bomben ,bombs
kämpfer ,fighter
victoria ,Victoria
bedenken ,consider
sitzung ,meeting
ken ,ken
sicheren ,secure
verkaufe ,sell
ron ,ron
tapfer ,brave
experiment ,experiment
besorge ,get
tiefe ,depth
narren ,fool
abgeholt ,picked up
abhalten ,stop
bestimmte ,particular
laufenden ,running
auftaucht ,shows up
school ,school
löschen ,delete
tara ,tara
sebastian ,Sebastian
mies ,bad
sarg ,coffin
r ,r
vertragen ,tolerate
gebissen ,bitten
geheimen ,secret
drinks ,drink
schlief ,slept
tradition ,tradition
soeben ,just
komische ,strange
schultz ,Schultz
aufgehalten ,stopped
fähigkeit ,capability
attraktiv ,attractive
begriff ,expression
versichere ,assure
schilde ,shield
legte ,put
mitteilen ,communicate
sdh ,SDH
gemütlich ,cozy
muster ,pattern
versprach ,promised
überwachen ,monitor
eingeschlafen ,fell asleep
schlimmsten ,worst
verlierst ,lose
einzelne ,separate
vergib ,forgive
vorbeikommen ,come round
aua ,aua
brüste ,breasts
sandwich ,sandwich
gewinner ,winner
verständnis ,understanding
g ,G
raymond ,raymond
papst ,pope
toast ,toast
matthew ,Matthew
einsteigen ,get in
löwen ,lion
einsetzen ,insert
gewinn ,profit
schüchtern ,shy
scheinst ,seem
pflanzen ,plant
green ,green
sheldon ,Sheldon
christopher ,Christopher
hätt ,would have
coach ,coach
werte ,values
modell ,model
übernimmt ,takes over
walton ,Walton
heftig ,violent
vorfall ,incident
motel ,motel
teams ,team
irgendeinen ,any
müsstest ,should
freier ,freelancer
zirkus ,circus
ruhm ,Fame
zurzeit ,currently
ausmachen ,turn off
rezept ,recipe
töchter ,daughter
laute ,Lute
akzeptiert ,accepted
geschwindigkeit ,speed
beliebt ,popular
verpflichtet ,obligated
betrüger ,cheater
lohnt ,worthwhile
märchen ,fairy tale
blöder ,stupid
becky ,Becky
wille ,will
hügel ,hill
königreich ,kingdom
dennis ,dennis
kehren ,bend
baut ,builds
chinesen ,Chinese
gesichert ,secured
michel ,Michel
ruth ,Ruth
block ,block
belogen ,lied
malen ,to paint
kofferraum ,trunk
road ,road
bursche ,guy
erin ,erin
geständnis ,confession
ausgegangen ,went out
begreifen ,understand
dana ,Dana
blitz ,lightning
löst ,loosens
furcht ,fear
jersey ,jersey
ernstes ,serious
verteilt ,distributed
bezüglich ,with reference to
faszinierend ,fascinating
aufmerksam ,attentive
aufregung ,excitement
wendy ,Wendy
ethan ,ethan
orte ,places
entführung ,kidnapping
keucht ,gasp
erhielt ,received
treue ,loyalty
felsen ,rock
malcolm ,Malcolm
kurzen ,briefly
zorn ,anger
taucht ,diving
bestimmen ,determine
ausgesetzt ,exposed
zurückgeben ,hand back
verkehr ,traffic
bewiesen ,proven
generation ,generation
liebste ,favorite
ausrichten ,align
ausnahme ,exception
ebene ,level
herrlich ,splendid
stürzen ,fall
herausforderung ,challenge
gefälligst ,mighty
farben ,colors
geliebten ,lover
ankommen ,arrive
tempo ,tempo
unterbrechen ,interrupt
kindes ,child
babe ,babe
erden ,earth
schrecklichen ,terrible
falsches ,false
täuschen ,To deceive
tal ,valley
irgendwer ,someone
deins ,yours
witwe ,widow
sichern ,to back up
gerede ,talk
betrug ,fraud
trauer ,grief
anwesenheit ,presence
bilden ,form
gewachsen ,grown
ausflug ,side trip
jill ,jill
verlaufen ,get lost
rand ,edge
kenny ,kenny
rechnen ,calculate
aufzug ,elevator
befragen ,consult
wegnehmen ,take away
abschied ,farewell
benötigen ,need
pst ,pst
amt ,government office
reiche ,rich
otto ,Otto
beginn ,beginnings
daumen ,thumb
bestrafen ,punish
clarence ,Clarence
weine ,wines
fremder ,stranger
sachte ,gently
identifiziert ,identified
gestehen ,confess
mac ,Mac
owen ,Owen
morris ,morris
riesig ,gigantic
entscheide ,decisions
koma ,coma
prinzen ,prince
bewusstlos ,unconscious
county ,county
marke ,brand
harter ,harder
hill ,hill
höflich ,polite
jude ,Jew
setzte ,set
besorg ,concern
absichtlich ,intentionally
vermasselt ,screwed -up
verschlossen ,locked
sowie ,as well as 
gesang ,singing
gedreht ,turned
ford ,ford
religion ,religion
ey ,icing
unterschrift ,signature
rosen ,roses
persönliches ,personal
queen ,queen
fortschritte ,progress
eingang ,entrance
zugehört ,listened
biete ,offer
clara ,Clara
vorhaben ,plan
kultur ,Culture
patientin ,patient
stephen ,Stephen
explodiert ,exploded
nichte ,niece
verzichten ,waive
steven ,Steven
harris ,Harris
existenz ,existence
drehbuch ,script
football ,football
anzusehen ,to watch
ohnmächtig ,unconscious
zaun ,fence
anthony ,Anthony
geladen ,loaded
guckt ,look
privat ,Private
peg ,peg
brauchten ,needed
liam ,liam
heb ,heb
virginia ,Virginia
wächter ,Guardian
eimer ,bucket
blasen ,blow
rakete ,rocket
salz ,salt
unfair ,unfair
verzeiht ,forgive
esel ,donkey
krankenschwester ,nurse
symbol ,symbol
entscheidet ,decide
fahrzeug ,vehicle
unterwäsche ,underwear
betrachtet ,viewed
bauern ,farmers
engländer ,English people
wartete ,was waiting
schaust ,look
genossen ,enjoyed
tropfen ,drops
probiert ,trial
spock ,spock
café ,coffee shop
verhungern ,to starve
versuchten ,attempted
mütter ,mothers
#VALUE!,#VALUE!
aktion ,action
bestanden ,passed
haaren ,hair
louise ,louise
schluchzt ,sobbing
übertrieben ,exaggerated
heilmittel ,remedy
apparat ,apparatus
vorm ,in front
friedlich ,peaceful
richtiges ,right
zuschauer ,viewers
teenager ,teenager
geliefert ,delivered
may ,May
gestritten ,quarreled
maus ,mouse
lediglich ,only 
charakter ,character
riley ,riley
krass ,cool
weiterer ,further
group ,group
ricky ,ricky
diana ,Diana
geräusche ,Sounds
lichter ,light
starken ,strengthen
dexter ,dexter
staffel ,squadron
flaschen ,bottle
putzen ,cleaning
einbruch ,Burglary
geheilt ,healed
beißen ,bite
nicole ,Nicole
stammen ,come
wände ,walls
befürchte ,fear
kostüm ,costume
warren ,warre
grüßen ,to greet
versagen ,fail
übernommen ,accepted
hoffte ,hoped
verschieben ,move
verspätung ,lateness
whiskey ,whiskey
mars ,Mars
media ,media
entdecken ,discover
traue ,truck
thron ,throne
riesigen ,huge
zelt ,tent
akzent ,accent
truppe ,troop
übertragen ,transmitted
kompliment ,compliment
flammen ,Flames
erkennst ,recognizable
erschrecken ,scare
gemälde ,painting
ari ,ari
walt ,walt
chip ,chip
mannschaft ,team
cindy ,cindy
loyalität ,loyalty
benjamin ,Benjamin
dankeschön ,Thank you very much
vertreten ,represent
verhandlung ,negotiation
lernst ,learn
brüllt ,roaring
füllen ,to fill
letztendlich ,at long last
krise ,crisis
verlierer ,loser
spencer ,spencer
with ,wither
kekse ,cookies
ausschalten ,turn off
penis ,penis
profi ,professional
whisky ,whiskey
erledige ,do
gelächter ,laughter
fängst ,fading
erklär ,explanation
einspruch ,objection
angeln ,fishing
rausgehen ,go out
monk ,monk
kaution ,deposit
eures ,yours
gesessen ,sitting
verrate ,betray
kehrt ,turns
boy ,boy
summe ,total
lade ,load
billig ,cheap
curtis ,curtis
bernard ,Bernard
#VALUE!,#VALUE!
gerissen ,cracked
festgenommen ,arrested
ralph ,ralph
befohlen ,ordered
überlege ,think
koordinaten ,coordinates
flog ,flew
herzinfarkt ,Heart attack
hinlegen ,put down
nahrung ,food
liege ,lounger
geflohen ,flow
knall ,bang
nebenbei ,alongside
mylord ,mylord
nachbar ,neighbor
küss ,kiss
lhrem ,lhrem
geleistet ,done
nutzt ,uses
fröhliche ,happy
nebel ,fog
front ,front
veränderung ,change
affe ,ape
kontaktieren ,to contact
brand ,fire
fuhren ,lead
zwischenzeit ,meantime
eingesetzt ,used
anton ,Anton
philip ,philip
megan ,Megan
schlimmeres ,worse
rennt ,run
anlegen ,invest
nachzudenken ,to think
schwör ,swear
übliche ,usual
kreatur ,creature
verderben ,spoil
medizinische ,medical
besetzt ,occupied
zugriff ,access
kanal ,channel
blutdruck ,blood pressure
grüne ,Greens
ausgeben ,spend
papi ,dad
clown ,clown
lhrer ,lhrer
sonny ,Sonny
schwören ,swear
hühnchen ,chicken
arten ,species
aufgebaut ,built up
sydney ,Sydney
betrügen ,deceive
steele ,steele
trank ,potion
glatt ,smooth
trainiert ,trained
indien ,India
autor ,author
geweint ,crazy
blume ,flower
verletzungen ,injuries
special ,special
zwillinge ,Twins
mia ,mia
reißt ,tearful
zeigst ,show
stirb ,die
justin ,Justin
diane ,Diane
gefickt ,fucked
schlägst ,sloping
moskau ,Moscow
erwartest ,expected
gestoßen ,bumped
durchgehen ,go through
praxis ,practice
gründlich ,thorough
benny ,Benny
eingeschlossen ,locked in
tragödie ,tragedy
vollständig ,complete
psychiater ,psychiatrist
rasse ,race
lance ,lance
vertraust ,confident
kummer ,grief
eigener ,own
christine ,Christine
partei ,Political party
zentrum ,center
testament ,testament
entfernung ,distance
private ,private
welten ,world
verlegen ,embarrassed
heroin ,heroin
erfuhr ,experienced
gelände ,terrain
kutsche ,coach
dummer ,dumber
homer ,Homer
stabil ,stable
ausgeschlossen ,excluded
out ,out
draus ,from
aufgehoben ,lifted
single ,single
regisseur ,Director
vielmals ,many times
dylan ,dylan
bestand ,duration
k ,K
erbe ,heritage
weggelaufen ,Run away
jim-bob ,Jim-Bob
noah ,Noah
leichte ,light
zuständig ,responsible
losgehen ,go
long ,long
hustet ,cough
brutal ,brutally
besprochen ,discussed
halbes ,half
bargeld ,Cash
peggy ,peggy
action ,action
zusammenarbeiten ,work together
beunruhigt ,troubled
achte ,eighth
innere ,inner
kanone ,cannon
eklig ,disgusting
x ,X
armes ,poor
avenue ,avenue
öffentlich ,public
nützt ,beneficial
marine ,marine
brillant ,brilliant
köder ,bait
gespräche ,conversations
nähert ,sewing
vorgehen ,proceed
kleinigkeit ,small thing
kissen ,pillow
manny ,Manny
geisel ,hostage
gerecht ,just
trost ,consolation
gehasst ,hateful
a. ,a.
gesorgt ,worried
archer ,Archer
spinner ,crackhead
vergebung ,forgiveness
vieh ,cattle
schnelle ,rapid
normales ,normal
gefesselt ,tied up
lautes ,loud
kalte ,cold
leitet ,guided
angehen ,approach
ekelhaft ,disgusting
salat ,salad
schicht ,layer
intelligent ,intelligent
meg ,MEG
verhältnis ,relationship
socken ,sock
brieftasche ,wallet
holly ,Holly
packt ,packed
eventuell ,possibly
nirgendwohin ,nowhere
methode ,method
gelangen ,reach
gespannt ,tense
vernunft ,reason
zurückgehen ,go back
regnet ,rain
drama ,drama
entspannt ,relaxed
wörter ,words
klingeln ,ring
ruhige ,calm
sprung ,Leap
anständig ,respectable
gangster ,gangster
harten ,hard
aufzeichnungen ,records
ofen ,oven
cowboy ,cowboy
endgültig ,finally
aufgaben ,tasks
ruh ,calm
deutsch ,German
neil ,slide
wodka ,vodka
know ,know -it -all
air ,air
respektieren ,respect
riskant ,risky
lohn ,salary
zuviel ,too much
zustimmen ,agree
schnaps ,schnapps
troy ,Troy
stufe ,level
erleichtert ,relieved
scheune ,barn
vanessa ,Vanessa
klink ,clink
spaziergang ,stroll
katherine ,Katherine
zettel ,note
kotzen ,vomit
blödmann ,dumbass
hurra ,Hooray
lana ,Lana
symptome ,symptoms
vorfahren ,ancestors
nutzlos ,useless
shaw ,Shaw
telefonnummer ,telephone number
nochmals ,again
grey ,gray
medien ,media
faul ,lazy
dient ,served
russell ,Russell
ereignisse ,events
aussuchen ,choose
verprügelt ,beaten
zweites ,second
sherlock ,Sherlock
fabelhaft ,fabulous
klinge ,blade
leistung ,perfomance
beileid ,sympathy
castle ,castle
durchführen ,carry out
mitchell ,mitch
eröffnen ,open
unschuld ,innocence
seist ,sist
stoßen ,bump
palmer ,Palmer
like ,Like
genügend ,enough
sofa ,sofa
gestatten ,allow
gekocht ,cooked
biest ,beast
lydia ,Lydia
bräuchte ,need
ausgelöst ,triggered
väter ,fathers
verarscht ,flare -down
butter ,butter
nachbarschaft ,neighborhood
villa ,villa
data ,data
goldene ,golden
schließe ,clasp
saft ,juice
begehen ,commit
hauptquartier ,headquarters
geschworen ,sworn
abgenommen ,decreased
werkstatt ,workshop
überreden ,convince
nannten ,called
gemüse ,vegetables
schläger ,bat
frisst ,eating
bewundere ,admirer
geschieden ,divorced
assistentin ,assistant
wettbewerb ,competition
lebten ,lived
sieger ,winner
verfassung ,constitution
küsst ,kiss
fußball ,football
geschnitten ,cut
master ,master
quietschen ,squeak
füttern ,feed
gürtel ,belt
unschuldigen ,innocent
menschlich ,human
eigenartig ,peculiar
oje ,oh
hanna ,Hanna
kabel ,cable
duke ,duke
franz ,Franz
zahn ,tooth
landet ,lands on
kisten ,box
liegst ,lying
mona ,mona
krankenstation ,at an infirmary
leine ,rope
beschreibung ,description
ausmacht ,make up
beschädigt ,damaged
grundstück ,property
steckte ,stuck
bahn ,train
turm ,tower
mine ,mine
sauerstoff ,oxygen
nö ,nope
angesichts ,in the face of
ll ,LL
versager ,failure
deinetwegen ,on your sake
vic ,Vic
angeklagt ,accused
aufhört ,stops
baden ,bathe
knacken ,crack
verbindungen ,links
panzer ,tank
marcel ,Marcel
bach ,stream
leiser ,quieter
stimmengewirr ,vocal tangles
zerstörung ,destruction
stirn ,forehead
finn ,Finn
sanft ,soft
kloster ,monastery
charmant ,charming
aufbauen ,build up
thanksgiving ,Thanksgiving
anlass ,occasion
zähle ,toughness
verlieben ,fall in love
atmosphäre ,the atmosphere
ronnie ,Ronnie
samantha ,Samantha
leber ,liver
jener ,that
begegnen ,encounter
dämlich ,stupid
krawatte ,necktie
juan ,Juan
tarnung ,camouflage
kanada ,Canada
alpha ,alpha
baker ,baker
tabletten ,tablets
faust ,fist
auftreten ,appear
monroe ,monroe
blatt ,sheet
gelöscht ,deleted
dschungel ,jungle
alison ,alison
niedlich ,cute
c. ,c.
klage ,legal action
wolltet ,wanted
jonas ,Jonas
akt ,act
schießerei ,shoot-out
anwältin ,lawyer
überleg ,consider
frisur ,hairstyle
spruch ,saying
jene ,those
moral ,moral
angelegenheiten ,Affairs
dokumente ,Documents
fröhlich ,cheerful
spezies ,species
#VALUE!,#VALUE!
schachtel ,box
opfers ,victim
noten ,grades
ellie ,ellie
irgendwohin ,somewhere
nora ,Nora
